link,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11]
4410,90,2,65536,1703,,,,,,,,,,,
5340,1703,2,65536,2294,,,,,,,,,,,
5461,2294,2,65536,2299,,,,,,,,,,,
4456,152,2,65536,1704,,,,,,,,,,,
5390,1704,2,65536,2357,2301,2296,,,,,,,,,
4502,213,2,65536,1705,,,,,,,,,,,
4939,1705,2,65536,2357,2276,,,,,,,,,,
6911,2357,2,65536,2359,2358,,,,,,,,,,
6959,2359,2,65536,2358,,,,,,,,,,,
6935,2359,2,65536,2358,,,,,,,,,,,
6763,2358,2,65536,2354,,,,,,,,,,,
4548,274,2,65536,1706,,,,,,,,,,,
4784,1706,2,65536,2352,2273,,,,,,,,,,
4594,335,2,65536,1707,,,,,,,,,,,
6714,1707,2,65536,2355,2352,,,,,,,,,,
6737,2352,2,65536,2354,,,,,,,,,,,
4640,396,2,65536,1708,,,,,,,,,,,
4807,1708,2,65536,2354,2351,2350,2349,2347,2345,2344,2343,2342,2341,2337,2273
4737,2273,2,65536,2277,2276,2275,2274,2270,,,,,,,
6387,2337,2,65536,2343,,,,,,,,,,,
6318,2341,2,65536,2342,,,,,,,,,,,
6500,2344,2,65536,2345,,,,,,,,,,,
6563,2347,2,65536,2349,,,,,,,,,,,
6628,2350,2,65536,2351,,,,,,,,,,,
6806,2354,2,65536,2355,,,,,,,,,,,
4831,2275,2,65536,2274,,,,,,,,,,,
6436,2345,2,65536,2343,,,,,,,,,,,
6651,2349,2,65536,2351,,,,,,,,,,,
4761,2274,2,65536,2270,,,,,,,,,,,
4710,2274,2,65536,2270,,,,,,,,,,,
6344,2351,2,65536,2342,,,,,,,,,,,
4962,2270,2,65536,2277,,,,,,,,,,,
6412,2342,2,65536,2343,,,,,,,,,,,
4915,2277,2,65536,2276,,,,,,,,,,,
6829,2343,2,65536,2355,,,,,,,,,,,
5438,2276,2,65536,2300,2298,,,,,,,,,,
5292,2355,2,65536,2325,2290,,,,,,,,,,
5241,2355,2,65536,2307,2289,,,,,,,,,,
5677,2307,2,65536,2313,2312,2311,2310,2308,,,,,,,
5901,2307,2,65536,2315,,,,,,,,,,,
5032,2325,2,65536,2329,2328,2326,2323,2280,,,,,,,
5056,2325,2,65536,2283,,,,,,,,,,,
5081,2283,2,65536,2287,2286,2285,,,,,,,,,
5770,2311,2,65536,2310,,,,,,,,,,,
5926,2315,2,65536,2319,2318,2317,,,,,,,,,
6214,2329,2,65536,2328,,,,,,,,,,,
5179,2287,2,65536,2286,,,,,,,,,,,
5155,2287,2,65536,2286,,,,,,,,,,,
5703,2310,2,65536,2308,,,,,,,,,,,
5727,2310,2,65536,2308,,,,,,,,,,,
5998,2319,2,65536,2318,,,,,,,,,,,
6041,2319,2,65536,2318,,,,,,,,,,,
6147,2328,2,65536,2326,,,,,,,,,,,
6171,2328,2,65536,2326,,,,,,,,,,,
5107,2286,2,65536,2285,,,,,,,,,,,
5878,2308,2,65536,2313,,,,,,,,,,,
5973,2318,2,65536,2317,,,,,,,,,,,
6084,2326,2,65536,2323,,,,,,,,,,,
5814,2313,2,65536,2312,,,,,,,,,,,
5005,2323,2,65536,2280,,,,,,,,,,,
5131,2280,2,65536,2285,,,,,,,,,,,
5949,2312,2,65536,2317,,,,,,,,,,,
5317,2285,2,65536,2290,,,,,,,,,,,
5268,2317,2,65536,2289,,,,,,,,,,,
5365,2289,2,65536,2301,2296,,,,,,,,,,
5413,2290,2,65536,2300,2298,,,,,,,,,,
5484,2296,2,65536,2299,,,,,,,,,,,
5507,2298,2,65536,2299,,,,,,,,,,,
5614,2300,2,65536,2301,,,,,,,,,,,
5531,2301,2,65536,2299,,,,,,,,,,,
4685,2299,2,65536,1709,,,,,,,,,,,
3920,1709,2,65536,1462,,,,,,,,,,,
4035,1467,1,1,1649,1700,1697,1694,1691,1688,1685,1681,,,,
4134,1467,1,1,1685,,,,,,,,,,,
4180,1467,1,1,1688,,,,,,,,,,,
4226,1467,1,1,1691,,,,,,,,,,,
4272,1467,1,1,1694,,,,,,,,,,,
4318,1467,1,1,1697,,,,,,,,,,,
4364,1467,1,1,1700,,,,,,,,,,,
4088,1467,1,1,1681,,,,,,,,,,,
3896,1681,1,16,1462,,,,,,,,,,,
3867,1681,1,16,1462,,,,,,,,,,,
3578,1685,1,16,90,,,,,,,,,,,
3549,1685,1,16,90,,,,,,,,,,,
3631,1688,1,16,152,,,,,,,,,,,
3602,1688,1,16,152,,,,,,,,,,,
3684,1691,1,16,213,,,,,,,,,,,
3655,1691,1,16,213,,,,,,,,,,,
3737,1694,1,16,274,,,,,,,,,,,
3708,1694,1,16,274,,,,,,,,,,,
3790,1697,1,16,335,,,,,,,,,,,
3761,1697,1,16,335,,,,,,,,,,,
3843,1700,1,16,396,,,,,,,,,,,
3814,1700,1,16,396,,,,,,,,,,,
4011,1462,1,65536,1649,,,,,,,,,,,
3985,1649,1,1,1467,,,,,,,,,,,
-------------PASS (DONE)------------
