link,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21]
8903,70,2,8,2227,2226,2225,2224,2223,2222,2221,2220,,,,,,,,,,,,,,
9547,136,2,8,2235,2234,2233,2232,2231,2230,2229,2228,,,,,,,,,,,,,,
10279,236,2,256,2238,,,,,,,,,,,,,,,,,,,,,
7680,2238,2,4096,2203,2202,2201,2200,2199,2198,2197,2196,,,,,,,,,,,,,,
10355,334,2,32768,2246,2245,2244,2243,2242,2241,2240,2239,,,,,,,,,,,,,,
7373,1968,1,1,6469,2194,2236,2235,2234,2233,2232,2231,2230,2173,2190,2193,2220,2221,2222,2223,2224,2225,2226,2227,2228,2229
7510,1968,1,1,2178,,,,,,,,,,,,,,,,,,,,,
7533,1968,1,1,2181,,,,,,,,,,,,,,,,,,,,,
7579,1968,1,1,2190,,,,,,,,,,,,,,,,,,,,,
7629,1968,1,1,2193,,,,,,,,,,,,,,,,,,,,,
7483,1968,1,1,2174,,,,,,,,,,,,,,,,,,,,,
13127,1968,1,1,6469,2194,,,,,,,,,,,,,,,,,,,,
7213,2174,1,128,1963,,,,,,,,,,,,,,,,,,,,,
7242,2174,1,128,1963,,,,,,,,,,,,,,,,,,,,,
7001,2178,1,1,70,,,,,,,,,,,,,,,,,,,,,
7030,2178,1,1,70,,,,,,,,,,,,,,,,,,,,,
7054,2181,1,1,136,,,,,,,,,,,,,,,,,,,,,
7083,2181,1,1,136,,,,,,,,,,,,,,,,,,,,,
7136,2190,1,8,236,,,,,,,,,,,,,,,,,,,,,
7107,2190,1,8,236,,,,,,,,,,,,,,,,,,,,,
7189,2193,1,4096,334,,,,,,,,,,,,,,,,,,,,,
7160,2193,1,4096,334,,,,,,,,,,,,,,,,,,,,,
10379,2194,2,32768,2246,2245,2244,2243,2242,2241,2240,2239,,,,,,,,,,,,,,
7730,2220,2,4096,2196,,,,,,,,,,,,,,,,,,,,,
7826,2221,2,4096,2197,,,,,,,,,,,,,,,,,,,,,
7922,2222,2,4096,2198,,,,,,,,,,,,,,,,,,,,,
8018,2223,2,4096,2199,,,,,,,,,,,,,,,,,,,,,
8114,2224,2,4096,2200,,,,,,,,,,,,,,,,,,,,,
8210,2225,2,4096,2201,,,,,,,,,,,,,,,,,,,,,
8306,2226,2,4096,2202,,,,,,,,,,,,,,,,,,,,,
8402,2227,2,4096,2203,,,,,,,,,,,,,,,,,,,,,
7705,2228,2,4096,2196,,,,,,,,,,,,,,,,,,,,,
7801,2229,2,4096,2197,,,,,,,,,,,,,,,,,,,,,
7897,2230,2,4096,2198,,,,,,,,,,,,,,,,,,,,,
7993,2231,2,4096,2199,,,,,,,,,,,,,,,,,,,,,
8089,2232,2,4096,2200,,,,,,,,,,,,,,,,,,,,,
8185,2233,2,4096,2201,,,,,,,,,,,,,,,,,,,,,
8281,2234,2,4096,2202,,,,,,,,,,,,,,,,,,,,,
8377,2235,2,4096,2203,,,,,,,,,,,,,,,,,,,,,
12590,6469,2,524288,6474,,,,,,,,,,,,,,,,,,,,,
7653,2239,2,4096,2196,,,,,,,,,,,,,,,,,,,,,
7755,2240,2,4096,2197,,,,,,,,,,,,,,,,,,,,,
7851,2241,2,4096,2198,,,,,,,,,,,,,,,,,,,,,
7947,2242,2,4096,2199,,,,,,,,,,,,,,,,,,,,,
8043,2243,2,4096,2200,,,,,,,,,,,,,,,,,,,,,
8139,2244,2,4096,2201,,,,,,,,,,,,,,,,,,,,,
8235,2245,2,4096,2202,,,,,,,,,,,,,,,,,,,,,
8331,2246,2,4096,2203,,,,,,,,,,,,,,,,,,,,,
11181,2196,2,4096,2250,2249,,,,,,,,,,,,,,,,,,,,
11297,2197,2,4096,2252,2251,,,,,,,,,,,,,,,,,,,,
11413,2198,2,4096,2254,2253,,,,,,,,,,,,,,,,,,,,
11529,2199,2,4096,2256,2255,,,,,,,,,,,,,,,,,,,,
11645,2200,2,4096,2258,2257,,,,,,,,,,,,,,,,,,,,
11761,2201,2,4096,2260,2259,,,,,,,,,,,,,,,,,,,,
11877,2202,2,4096,2262,2261,,,,,,,,,,,,,,,,,,,,
11993,2203,2,4096,2264,2263,,,,,,,,,,,,,,,,,,,,
8454,2249,2,524288,2212,,,,,,,,,,,,,,,,,,,,,
8427,2250,2,524288,2212,,,,,,,,,,,,,,,,,,,,,
8506,2251,2,524288,2213,,,,,,,,,,,,,,,,,,,,,
8479,2252,2,524288,2213,,,,,,,,,,,,,,,,,,,,,
8558,2253,2,524288,2214,,,,,,,,,,,,,,,,,,,,,
8531,2254,2,524288,2214,,,,,,,,,,,,,,,,,,,,,
8610,2255,2,524288,2215,,,,,,,,,,,,,,,,,,,,,
8583,2256,2,524288,2215,,,,,,,,,,,,,,,,,,,,,
8662,2257,2,524288,2216,,,,,,,,,,,,,,,,,,,,,
8635,2258,2,524288,2216,,,,,,,,,,,,,,,,,,,,,
8714,2259,2,524288,2217,,,,,,,,,,,,,,,,,,,,,
8687,2260,2,524288,2217,,,,,,,,,,,,,,,,,,,,,
8766,2261,2,524288,2218,,,,,,,,,,,,,,,,,,,,,
8739,2262,2,524288,2218,,,,,,,,,,,,,,,,,,,,,
8818,2263,2,524288,2219,,,,,,,,,,,,,,,,,,,,,
8791,2264,2,524288,2219,,,,,,,,,,,,,,,,,,,,,
12099,2212,2,524288,2265,,,,,,,,,,,,,,,,,,,,,
12149,2213,2,524288,2266,,,,,,,,,,,,,,,,,,,,,
12199,2214,2,524288,2267,,,,,,,,,,,,,,,,,,,,,
12249,2215,2,524288,2268,,,,,,,,,,,,,,,,,,,,,
12299,2216,2,524288,2269,,,,,,,,,,,,,,,,,,,,,
12349,2217,2,524288,2270,,,,,,,,,,,,,,,,,,,,,
12399,2218,2,524288,2271,,,,,,,,,,,,,,,,,,,,,
12449,2219,2,524288,2272,,,,,,,,,,,,,,,,,,,,,
12472,2265,2,524288,6472,,,,,,,,,,,,,,,,,,,,,
12497,2266,2,524288,6472,,,,,,,,,,,,,,,,,,,,,
12520,2267,2,524288,6472,,,,,,,,,,,,,,,,,,,,,
