link,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15]
9544,187,2,32768,3055,3054,3053,3040,3041,3042,3043,3044,3045,3046,3047,3048,3049,3050,3051,3052
11234,378,2,16384,3056,,,,,,,,,,,,,,,
8092,3056,1,16384,3020,3019,3018,3005,3006,3007,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017
8433,3005,1,16384,3021,,,,,,,,,,,,,,,
8488,3006,1,16384,3022,,,,,,,,,,,,,,,
8543,3007,1,16384,3023,,,,,,,,,,,,,,,
8598,3008,1,16384,3024,,,,,,,,,,,,,,,
8653,3009,1,16384,3025,,,,,,,,,,,,,,,
8708,3010,1,16384,3026,,,,,,,,,,,,,,,
8763,3011,1,16384,3027,,,,,,,,,,,,,,,
8818,3012,1,16384,3028,,,,,,,,,,,,,,,
8873,3013,1,16384,3029,,,,,,,,,,,,,,,
8928,3014,1,16384,3030,,,,,,,,,,,,,,,
8983,3015,1,16384,3031,,,,,,,,,,,,,,,
9038,3016,1,16384,3032,,,,,,,,,,,,,,,
9093,3017,1,16384,3033,,,,,,,,,,,,,,,
9148,3018,1,16384,3034,,,,,,,,,,,,,,,
9203,3019,1,16384,3035,,,,,,,,,,,,,,,
9258,3020,1,16384,3036,,,,,,,,,,,,,,,
7496,2693,1,1,2993,3037,2995,2809,2999,2992,2988,2987,,,,,,,,
7466,2693,1,1,2993,3037,2999,2992,2987,2809,2995,2988,,,,,,,,
7870,2693,1,1,2992,,,,,,,,,,,,,,,
8068,2693,1,1,2999,,,,,,,,,,,,,,,
7784,2693,1,1,2988,,,,,,,,,,,,,,,
12854,2693,1,1,2993,,,,,,,,,,,,,,,
7287,2988,1,512,2681,,,,,,,,,,,,,,,
7258,2988,1,512,2681,,,,,,,,,,,,,,,
7181,2992,1,2048,187,,,,,,,,,,,,,,,
7152,2992,1,2048,187,,,,,,,,,,,,,,,
9568,2993,2,32768,3055,3054,3053,3040,3041,3042,3043,3044,3045,3046,3047,3048,3049,3050,3051,3052
7960,2995,1,1024,2999,,,,,,,,,,,,,,,
7234,2999,1,1024,378,,,,,,,,,,,,,,,
7205,2999,1,1024,378,,,,,,,,,,,,,,,
8464,3040,2,262144,3021,,,,,,,,,,,,,,,
8519,3041,2,262144,3022,,,,,,,,,,,,,,,
8574,3042,2,262144,3023,,,,,,,,,,,,,,,
8629,3043,2,262144,3024,,,,,,,,,,,,,,,
8684,3044,2,262144,3025,,,,,,,,,,,,,,,
8739,3045,2,262144,3026,,,,,,,,,,,,,,,
8794,3046,2,262144,3027,,,,,,,,,,,,,,,
8849,3047,2,262144,3028,,,,,,,,,,,,,,,
8904,3048,2,262144,3029,,,,,,,,,,,,,,,
8959,3049,2,262144,3030,,,,,,,,,,,,,,,
9014,3050,2,262144,3031,,,,,,,,,,,,,,,
9069,3051,2,262144,3032,,,,,,,,,,,,,,,
9124,3052,2,262144,3033,,,,,,,,,,,,,,,
9179,3053,2,262144,3034,,,,,,,,,,,,,,,
9234,3054,2,262144,3035,,,,,,,,,,,,,,,
9289,3055,2,262144,3036,,,,,,,,,,,,,,,
11384,3021,2,262144,3059,,,,,,,,,,,,,,,
11430,3022,2,262144,3060,,,,,,,,,,,,,,,
11476,3023,2,262144,3061,,,,,,,,,,,,,,,
11522,3024,2,262144,3062,,,,,,,,,,,,,,,
11568,3025,2,262144,3063,,,,,,,,,,,,,,,
11614,3026,2,262144,3064,,,,,,,,,,,,,,,
11660,3027,2,262144,3065,,,,,,,,,,,,,,,
11706,3028,2,262144,3066,,,,,,,,,,,,,,,
11752,3029,2,262144,3067,,,,,,,,,,,,,,,
11798,3030,2,262144,3068,,,,,,,,,,,,,,,
11844,3031,2,262144,3069,,,,,,,,,,,,,,,
11890,3032,2,262144,3070,,,,,,,,,,,,,,,
11936,3033,2,262144,3071,,,,,,,,,,,,,,,
11982,3034,2,262144,3072,,,,,,,,,,,,,,,
12028,3035,2,262144,3073,,,,,,,,,,,,,,,
12074,3036,2,262144,3074,,,,,,,,,,,,,,,
12191,3059,2,262144,6659,,,,,,,,,,,,,,,
12216,3060,2,262144,6659,,,,,,,,,,,,,,,
12262,3061,2,262144,6659,,,,,,,,,,,,,,,
12239,3062,2,262144,6659,,,,,,,,,,,,,,,
12427,3063,2,262144,6661,,,,,,,,,,,,,,,
12450,3064,2,262144,6661,,,,,,,,,,,,,,,
12381,3065,2,262144,6661,,,,,,,,,,,,,,,
12404,3066,2,262144,6661,,,,,,,,,,,,,,,
12473,3067,2,262144,6662,,,,,,,,,,,,,,,
12498,3068,2,262144,6662,,,,,,,,,,,,,,,
12521,3069,2,262144,6663,,,,,,,,,,,,,,,
12544,3070,2,262144,6663,,,,,,,,,,,,,,,
12097,3071,2,262144,6655,,,,,,,,,,,,,,,
12122,3072,2,262144,6655,,,,,,,,,,,,,,,
12145,3073,2,262144,6655,,,,,,,,,,,,,,,
12168,3074,2,262144,6655,,,,,,,,,,,,,,,
12590,6655,2,262144,6663,,,,,,,,,,,,,,,
12358,6659,2,262144,6660,,,,,,,,,,,,,,,
12334,6661,2,262144,6660,,,,,,,,,,,,,,,
12567,6662,2,262144,6663,,,,,,,,,,,,,,,
12309,6663,2,262144,6660,,,,,,,,,,,,,,,
7706,3038,2,16384,2987,,,,,,,,,,,,,,,
7681,3039,2,16384,2987,,,,,,,,,,,,,,,
9362,2987,2,16384,3038,3037,,,,,,,,,,,,,,
7311,3037,2,8192,2681,,,,,,,,,,,,,,,
7442,2681,1,8192,2809,,,,,,,,,,,,,,,
7416,2809,1,1,2693,,,,,,,,,,,,,,,
9451,3057,2,16384,3039,,,,,,,,,,,,,,,
12285,3058,2,262144,6660,,,,,,,,,,,,,,,
11295,6660,2,262144,3058,3057,,,,,,,,,,,,,,
-------------PASS (DONE)------------
