link,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23]
17386,82,2,256,10089,10087,10085,10083,10081,10079,10077,10075,10073,,,,,,,,,,,,,,,
13012,256,2,65536,4396,4395,4394,4381,4382,4383,4384,4385,4386,4387,4388,4389,4390,4391,4392,4393,,,,,,,,
11248,3767,1,1,10090,10088,10086,10084,10082,10080,10078,10076,10074,10017,4314,4310,4313,10073,4378,4379,10075,10077,10079,10081,10083,10085,10087,10089
11306,3767,1,1,10090,10088,10086,10084,10082,10080,10078,10076,10017,4310,4313,4378,4379,10075,10077,10079,10081,10083,10085,10087,10089,4314,,
11279,3767,1,1,4298,,,,,,,,,,,,,,,,,,,,,,,
11623,3767,1,1,4313,,,,,,,,,,,,,,,,,,,,,,,
11359,3767,1,1,4303,,,,,,,,,,,,,,,,,,,,,,,
20032,3767,1,1,10090,10088,10086,10084,10082,10080,10078,10076,10074,10017,4314,,,,,,,,,,,,,
10982,4298,1,64,82,,,,,,,,,,,,,,,,,,,,,,,
11011,4298,1,64,82,,,,,,,,,,,,,,,,,,,,,,,
11088,4303,1,64,3762,,,,,,,,,,,,,,,,,,,,,,,
11117,4303,1,64,3762,,,,,,,,,,,,,,,,,,,,,,,
11035,4313,1,16384,256,,,,,,,,,,,,,,,,,,,,,,,
11064,4313,1,16384,256,,,,,,,,,,,,,,,,,,,,,,,
13036,4314,2,65536,4396,4395,4394,4381,4382,4383,4384,4385,4386,4387,4388,4389,4390,4391,4392,4393,,,,,,,,
15854,10017,2,524288,10022,,,,,,,,,,,,,,,,,,,,,,,
17433,10074,2,512,10073,,,,,,,,,,,,,,,,,,,,,,,
17631,10076,2,524288,10075,,,,,,,,,,,,,,,,,,,,,,,
17829,10078,2,524288,10077,,,,,,,,,,,,,,,,,,,,,,,
18027,10080,2,524288,10079,,,,,,,,,,,,,,,,,,,,,,,
18225,10082,2,524288,10081,,,,,,,,,,,,,,,,,,,,,,,
18423,10084,2,524288,10083,,,,,,,,,,,,,,,,,,,,,,,
18621,10086,2,524288,10085,,,,,,,,,,,,,,,,,,,,,,,
18819,10088,2,524288,10087,,,,,,,,,,,,,,,,,,,,,,,
19017,10090,2,524288,10089,,,,,,,,,,,,,,,,,,,,,,,
11910,4381,2,524288,4345,,,,,,,,,,,,,,,,,,,,,,,
11982,4382,2,524288,4346,,,,,,,,,,,,,,,,,,,,,,,
12054,4383,2,524288,4347,,,,,,,,,,,,,,,,,,,,,,,
12126,4384,2,524288,4348,,,,,,,,,,,,,,,,,,,,,,,
12198,4385,2,524288,4349,,,,,,,,,,,,,,,,,,,,,,,
12270,4386,2,524288,4350,,,,,,,,,,,,,,,,,,,,,,,
12342,4387,2,524288,4351,,,,,,,,,,,,,,,,,,,,,,,
12414,4388,2,524288,4352,,,,,,,,,,,,,,,,,,,,,,,
16710,4389,2,524288,10043,,,,,,,,,,,,,,,,,,,,,,,
16783,4390,2,524288,10047,,,,,,,,,,,,,,,,,,,,,,,
16856,4391,2,524288,10051,,,,,,,,,,,,,,,,,,,,,,,
16929,4392,2,524288,10055,,,,,,,,,,,,,,,,,,,,,,,
17002,4393,2,524288,10059,,,,,,,,,,,,,,,,,,,,,,,
17075,4394,2,524288,10063,,,,,,,,,,,,,,,,,,,,,,,
17148,4395,2,524288,10067,,,,,,,,,,,,,,,,,,,,,,,
17221,4396,2,524288,10071,,,,,,,,,,,,,,,,,,,,,,,
11198,3859,1,1,3767,,,,,,,,,,,,,,,,,,,,,,,
11517,4311,1,128,4312,,,,,,,,,,,,,,,,,,,,,,,
16072,4329,1,2048,10025,,,,,,,,,,,,,,,,,,,,,,,
16152,4330,1,2048,10027,,,,,,,,,,,,,,,,,,,,,,,
16232,4331,1,2048,10029,,,,,,,,,,,,,,,,,,,,,,,
16312,4332,1,2048,10031,,,,,,,,,,,,,,,,,,,,,,,
16392,4333,1,2048,10033,,,,,,,,,,,,,,,,,,,,,,,
16472,4334,1,2048,10035,,,,,,,,,,,,,,,,,,,,,,,
16552,4335,1,2048,10037,,,,,,,,,,,,,,,,,,,,,,,
16632,4336,1,2048,10039,,,,,,,,,,,,,,,,,,,,,,,
14703,4354,1,131072,4400,4399,,,,,,,,,,,,,,,,,,,,,,
16043,4399,2,8192,10025,,,,,,,,,,,,,,,,,,,,,,,
11647,4400,2,8192,4329,,,,,,,,,,,,,,,,,,,,,,,
16100,10025,2,8192,10026,,,,,,,,,,,,,,,,,,,,,,,
11879,10026,1,2048,4345,,,,,,,,,,,,,,,,,,,,,,,
15391,4345,2,524288,4415,,,,,,,,,,,,,,,,,,,,,,,
15736,4415,2,524288,10020,,,,,,,,,,,,,,,,,,,,,,,
14789,4356,1,131072,4402,4401,,,,,,,,,,,,,,,,,,,,,,
16123,4401,2,8192,10027,,,,,,,,,,,,,,,,,,,,,,,
11674,4402,2,8192,4330,,,,,,,,,,,,,,,,,,,,,,,
16180,10027,2,8192,10028,,,,,,,,,,,,,,,,,,,,,,,
11951,10028,1,2048,4346,,,,,,,,,,,,,,,,,,,,,,,
15437,4346,2,524288,4416,,,,,,,,,,,,,,,,,,,,,,,
15761,4416,2,524288,10020,,,,,,,,,,,,,,,,,,,,,,,
14875,4358,1,131072,4404,4403,,,,,,,,,,,,,,,,,,,,,,
16203,4403,2,8192,10029,,,,,,,,,,,,,,,,,,,,,,,
11701,4404,2,8192,4331,,,,,,,,,,,,,,,,,,,,,,,
16260,10029,2,8192,10030,,,,,,,,,,,,,,,,,,,,,,,
12023,10030,1,2048,4347,,,,,,,,,,,,,,,,,,,,,,,
15483,4347,2,524288,4417,,,,,,,,,,,,,,,,,,,,,,,
15784,4417,2,524288,10020,,,,,,,,,,,,,,,,,,,,,,,
14961,4360,1,131072,4406,4405,,,,,,,,,,,,,,,,,,,,,,
16283,4405,2,8192,10031,,,,,,,,,,,,,,,,,,,,,,,
11728,4406,2,8192,4332,,,,,,,,,,,,,,,,,,,,,,,
16340,10031,2,8192,10032,,,,,,,,,,,,,,,,,,,,,,,
12095,10032,1,2048,4348,,,,,,,,,,,,,,,,,,,,,,,
15529,4348,2,524288,4418,,,,,,,,,,,,,,,,,,,,,,,
15807,4418,2,524288,10020,,,,,,,,,,,,,,,,,,,,,,,
15974,10020,2,524288,10023,,,,,,,,,,,,,,,,,,,,,,,
15047,4362,1,131072,4408,4407,,,,,,,,,,,,,,,,,,,,,,
16363,4407,2,8192,10033,,,,,,,,,,,,,,,,,,,,,,,
11755,4408,2,8192,4333,,,,,,,,,,,,,,,,,,,,,,,
16420,10033,2,8192,10034,,,,,,,,,,,,,,,,,,,,,,,
12167,10034,1,2048,4349,,,,,,,,,,,,,,,,,,,,,,,
15575,4349,2,524288,4419,,,,,,,,,,,,,,,,,,,,,,,
15926,4419,2,524288,10023,,,,,,,,,,,,,,,,,,,,,,,
15133,4364,1,131072,4410,4409,,,,,,,,,,,,,,,,,,,,,,
16443,4409,2,8192,10035,,,,,,,,,,,,,,,,,,,,,,,
11782,4410,2,8192,4334,,,,,,,,,,,,,,,,,,,,,,,
16500,10035,2,8192,10036,,,,,,,,,,,,,,,,,,,,,,,
12239,10036,1,2048,4350,,,,,,,,,,,,,,,,,,,,,,,
15621,4350,2,524288,4420,,,,,,,,,,,,,,,,,,,,,,,
15903,4420,2,524288,10023,,,,,,,,,,,,,,,,,,,,,,,
15219,4366,1,131072,4412,4411,,,,,,,,,,,,,,,,,,,,,,
