link,src,count,dst[0],dst[4],dst[2],dst[1],dst[3],dst[7],dst[6],dst[5],dst[10],dst[9],dst[8]
10370,78,256,6062,6054,6058,6060,6056,,,,,,
8057,240,131072,2578,2574,2576,2577,2575,2571,2572,2573,,,
6861,2195,1,6023,6058,6062,2532,6060,2568,2569,6056,2528,2531,6054
6919,2195,1,6023,6058,6062,2532,6060,2568,2569,6056,,2528,2531
6892,2195,1,2516,,,,,,,,,,
7236,2195,1,2531,,,,,,,,,,
6972,2195,1,2521,,,,,,,,,,
11856,2195,1,6061,6053,6057,6059,6055,,2532,6023,,,
6595,2516,64,78,,,,,,,,,,
6624,2516,64,78,,,,,,,,,,
6701,2521,64,2190,,,,,,,,,,
6730,2521,64,2190,,,,,,,,,,
6648,2531,32768,240,,,,,,,,,,
6677,2531,32768,240,,,,,,,,,,
8081,2532,131072,2578,2574,2576,2577,2575,2571,2572,2573,,,
9615,6023,2097152,6028,,,,,,,,,,
10417,6053,256,6054,,,,,,,,,,
10615,6055,256,6056,,,,,,,,,,
10813,6057,256,6058,,,,,,,,,,
11011,6059,256,6060,,,,,,,,,,
11209,6061,256,6062,,,,,,,,,,
7415,2571,2097152,2551,,,,,,,,,,
7487,2572,2097152,2552,,,,,,,,,,
7559,2573,2097152,2553,,,,,,,,,,
7631,2574,2097152,2554,,,,,,,,,,
9986,2575,2097152,6039,,,,,,,,,,
10059,2576,2097152,6043,,,,,,,,,,
10132,2577,2097152,6047,,,,,,,,,,
10205,2578,2097152,6051,,,,,,,,,,
6811,2287,1,2195,,,,,,,,,,
7130,2529,128,2530,,,,,,,,,,
9668,2543,8192,6029,,,,,,,,,,
9748,2544,8192,6031,,,,,,,,,,
9828,2545,8192,6033,,,,,,,,,,
9908,2546,8192,6035,,,,,,,,,,
8944,2556,524288,2582,,,2581,,,,,,,
9639,2581,32768,6029,,,,,,,,,,
7260,2582,32768,2543,,,,,,,,,,
9696,6029,32768,6030,,,,,,,,,,
7384,6030,8192,2551,,,,,,,,,,
9288,2551,2097152,2589,,,,,,,,,,
9497,2589,2097152,6027,,,,,,,,,,
9030,2558,524288,2584,,,2583,,,,,,,
9719,2583,32768,6031,,,,,,,,,,
7287,2584,32768,2544,,,,,,,,,,
9776,6031,32768,6032,,,,,,,,,,
7456,6032,8192,2552,,,,,,,,,,
9334,2552,2097152,2590,,,,,,,,,,
9522,2590,2097152,6027,,,,,,,,,,
9591,6027,2097152,6028,,,,,,,,,,
9116,2560,524288,2586,,,2585,,,,,,,
9799,2585,32768,6033,,,,,,,,,,
7314,2586,32768,2545,,,,,,,,,,
9856,6033,32768,6034,,,,,,,,,,
7528,6034,8192,2553,,,,,,,,,,
9380,2553,2097152,2591,,,,,,,,,,
9474,2591,2097152,6026,,,,,,,,,,
9202,2562,524288,2588,,,2587,,,,,,,
9879,2587,32768,6035,,,,,,,,,,
7341,2588,32768,2546,,,,,,,,,,
9936,6035,32768,6036,,,,,,,,,,
7600,6036,8192,2554,,,,,,,,,,
9426,2554,2097152,2592,,,,,,,,,,
9449,2592,2097152,6026,,,,,,,,,,
9568,6026,2097152,6028,,,,,,,,,,
7079,2570,8192,2528,,,,,,,,,,
7054,2579,8192,2528,,,,,,,,,,
7876,2528,8192,2570,,2568,2569,,,,,,,
7161,2568,512,2530,,,,,,,,,,
7104,2569,128,2529,,,,,,,,,,
10393,2530,512,6062,6054,6058,6060,6056,,,,,,
6754,6054,256,2190,,,,,,,,,,
9960,6056,2097152,6039,,,,,,,,,,
10033,6058,2097152,6043,,,,,,,,,,
10106,6060,2097152,6047,,,,,,,,,,
10179,6062,2097152,6051,,,,,,,,,,
6837,2190,256,2287,,,,,,,,,,
10009,6039,2097152,6040,,,,,,,,,,
10082,6043,2097152,6044,,,,,,,,,,
10155,6047,2097152,6048,,,,,,,,,,
10228,6051,2097152,6052,,,,,,,,,,
7672,6040,524288,2556,,,,,,,,,,
7715,6044,524288,2558,,,,,,,,,,
7758,6048,524288,2560,,,,,,,,,,
7801,6052,524288,2562,,,,,,,,,,
9545,2580,2097152,6028,,,,,,,,,,
8855,6028,2097152,2580,,,2579,,,,,,,
-------------PASS (DONE)------------
