link,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11]
5380,55,2,8,1633,1632,1631,1630,1629,1628,,,,,,
6232,213,2,262144,1643,1642,1641,1640,1639,1638,1637,1636,,,,
6938,293,2,2048,1644,,,,,,,,,,,
4906,1644,1,8192,1623,1622,1621,1620,,,,,,,,
4237,1364,1,1,3595,1611,1634,1633,1632,1631,1630,1629,1628,1613,1610,1602
4291,1364,1,1,3595,1611,1634,1633,1632,1631,1630,1613,1610,1602,,
4268,1364,1,1,1591,,,,,,,,,,,
4574,1364,1,1,1610,,,,,,,,,,,
4644,1364,1,1,1613,,,,,,,,,,,
4396,1364,1,1,1596,,,,,,,,,,,
8020,1364,1,1,3595,1611,,,,,,,,,,
3934,1591,1,1,55,,,,,,,,,,,
3963,1591,1,1,55,,,,,,,,,,,
4093,1596,1,1,1359,,,,,,,,,,,
4122,1596,1,1,1359,,,,,,,,,,,
4016,1610,1,32768,213,,,,,,,,,,,
3987,1610,1,32768,213,,,,,,,,,,,
6256,1611,2,262144,1643,1642,1641,1640,1639,1638,1637,1636,,,,
4069,1613,1,64,293,,,,,,,,,,,
4040,1613,1,64,293,,,,,,,,,,,
7321,3595,2,65536,3599,,,,,,,,,,,
5108,1636,2,65536,1624,,,,,,,,,,,
5163,1637,2,65536,1625,,,,,,,,,,,
5218,1638,2,65536,1626,,,,,,,,,,,
5273,1639,2,65536,1627,,,,,,,,,,,
4668,1640,2,65536,1616,,,,,,,,,,,
4720,1641,2,65536,1617,,,,,,,,,,,
4772,1642,2,65536,1618,,,,,,,,,,,
4824,1643,2,65536,1619,,,,,,,,,,,
4187,1480,1,1,1364,,,,,,,,,,,
4499,1635,2,512,1602,,,,,,,,,,,
4474,1645,2,512,1602,,,,,,,,,,,
6116,1602,2,512,1635,1634,,,,,,,,,,
4372,1634,2,32,1595,,,,,,,,,,,
7297,1646,2,65536,3599,,,,,,,,,,,
7274,1647,2,65536,3598,,,,,,,,,,,
7249,1648,2,65536,3598,,,,,,,,,,,
7370,3598,2,65536,3599,,,,,,,,,,,
7416,1649,2,65536,3600,,,,,,,,,,,
7393,1650,2,65536,3600,,,,,,,,,,,
7346,3600,2,65536,3599,,,,,,,,,,,
6999,3599,2,65536,1646,1645,,,,,,,,,,
4213,1359,1,8,1480,,,,,,,,,,,
5403,1595,2,32,1633,1632,1631,1630,1629,1628,,,,,,
4146,1628,2,8,1359,,,,,,,,,,,
4345,1629,2,32,1595,,,,,,,,,,,
4695,1630,2,65536,1616,,,,,,,,,,,
4747,1631,2,65536,1617,,,,,,,,,,,
4799,1632,2,65536,1618,,,,,,,,,,,
4851,1633,2,65536,1619,,,,,,,,,,,
4879,1616,1,8192,1620,,,,,,,,,,,
4934,1617,1,8192,1621,,,,,,,,,,,
4983,1618,1,8192,1622,,,,,,,,,,,
5032,1619,1,8192,1623,,,,,,,,,,,
5077,1620,1,8192,1624,,,,,,,,,,,
5132,1621,1,8192,1625,,,,,,,,,,,
5187,1622,1,8192,1626,,,,,,,,,,,
5242,1623,1,8192,1627,,,,,,,,,,,
7088,1624,2,65536,1647,,,,,,,,,,,
7134,1625,2,65536,1648,,,,,,,,,,,
7180,1626,2,65536,1649,,,,,,,,,,,
7226,1627,2,65536,1650,,,,,,,,,,,
-------------PASS (DONE)------------
