link,src,count,dst[0],dst[1],dst[4],dst[7],dst[6],dst[5],dst[2],dst[8],dst[3]
2896,78,768,910,909,,,,,,,
3005,183,73728,911,,,,,,,,
2481,911,4718592,889,,,,,,,,
3050,252,73728,912,,,,,,,,
2533,912,4718592,890,,,,,,,,
1751,877,192,78,,,,,,,,
1780,877,192,78,,,,,,,,
1804,895,1152,183,,,,,,,,
1833,895,1152,183,,,,,,,,
1886,898,1152,252,,,,,,,,
1857,898,1152,252,,,,,,,,
1939,901,73728,545,,,,,,,,
1910,901,73728,545,,,,,,,,
2017,905,73728,666,,,,,,,,
1988,905,73728,666,,,,,,,,
1963,913,4718592,545,,,,,,,,
2277,545,4718592,806,,,,,,,,
2041,914,4718592,666,,,,,,,,
2300,666,4718592,849,,,,,,,,
2324,678,1,910,909,849,901,905,806,898,877,895
2354,678,1,910,909,905,895,898,901,849,,806
2430,678,1,877,,,,,,,,
2604,678,1,895,,,,,,,,
2674,678,1,898,,,,,,,,
2751,678,1,901,,,,,,,,
2828,678,1,905,,,,,,,,
2146,806,1,678,,,,,,,,
2253,849,1,678,,,,,,,,
2454,909,4718592,889,,,,,,,,
2506,910,4718592,890,,,,,,,,
3098,889,4718592,913,,,,,,,,
3146,890,4718592,914,,,,,,,,
-------------PASS (DONE)------------
