link,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8]
2852,78,2,256,910,909,,,,,,,
2961,183,2,8192,911,,,,,,,,
2437,911,2,524288,889,,,,,,,,
3006,252,2,8192,912,,,,,,,,
2489,912,2,524288,890,,,,,,,,
1707,877,1,64,78,,,,,,,,
1736,877,1,64,78,,,,,,,,
1760,895,1,128,183,,,,,,,,
1789,895,1,128,183,,,,,,,,
1842,898,1,128,252,,,,,,,,
1813,898,1,128,252,,,,,,,,
1895,901,1,8192,545,,,,,,,,
1866,901,1,8192,545,,,,,,,,
1973,905,1,8192,666,,,,,,,,
1944,905,1,8192,666,,,,,,,,
1919,913,2,524288,545,,,,,,,,
2233,545,1,524288,806,,,,,,,,
1997,914,2,524288,666,,,,,,,,
2256,666,1,524288,849,,,,,,,,
2280,678,1,1,910,909,898,895,849,806,905,901,877
2310,678,1,1,910,909,849,806,905,901,898,895,
2386,678,1,1,877,,,,,,,,
2560,678,1,1,895,,,,,,,,
2630,678,1,1,898,,,,,,,,
2707,678,1,1,901,,,,,,,,
2784,678,1,1,905,,,,,,,,
2102,806,1,1,678,,,,,,,,
2209,849,1,1,678,,,,,,,,
2410,909,2,524288,889,,,,,,,,
2462,910,2,524288,890,,,,,,,,
3054,889,2,524288,913,,,,,,,,
3102,890,2,524288,914,,,,,,,,
-------------PASS (DONE)------------
