link,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28]
12174,177,2,2048,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9696,3270,1,4096,3253,3252,3251,3250,3249,3248,3247,3246,,,,,,,,,,,,,,,,,,,,,
13354,282,2,131072,3304,3303,3302,3301,3300,3299,3298,3297,3296,3295,3294,3281,3282,3283,3284,3285,3286,3287,3288,3289,3290,3291,3292,3293,,,,,
9036,2770,1,1,3232,3280,3279,3278,3264,3263,3262,3261,3260,3259,3258,3257,3256,3255,3254,3231,3228,3265,3266,3267,3268,3269,3271,3272,3273,3274,3275,3276,3277
9067,2770,1,1,3232,3280,3279,3278,3264,3263,3262,3261,3260,3259,3258,3257,3256,3255,3254,3231,3228,3265,3266,3267,3268,3269,3271,3272,3273,3274,3275,3276,3277
10063,2770,1,1,3269,3268,3267,3254,3255,3256,3257,3258,3259,3260,3261,3262,3263,3264,3265,3266,,,,,,,,,,,,,
9156,2770,1,1,3228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9226,2770,1,1,3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9090,2770,1,1,3224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18706,2770,1,1,3280,3279,3278,3277,3276,3275,3274,3273,3272,3271,3232,,,,,,,,,,,,,,,,,,
8921,3224,1,1,2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8892,3224,1,1,2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8815,3228,1,32,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8786,3228,1,32,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8839,3231,1,32768,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8868,3231,1,32768,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13378,3232,2,131072,3304,3303,3302,3301,3300,3299,3298,3297,3296,3295,3294,3281,3282,3283,3284,3285,3286,3287,3288,3289,3290,3291,3292,3293,,,,,
10154,3281,2,8192,3254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10290,3282,2,8192,3255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10420,3283,2,8192,3256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,3284,2,8192,3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10680,3285,2,8192,3258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10810,3286,2,8192,3259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,3287,2,8192,3260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11070,3288,2,8192,3261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11200,3289,2,8192,3262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330,3290,2,8192,3263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11460,3291,2,8192,3264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11590,3292,2,8192,3265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11720,3293,2,8192,3266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11850,3294,2,8192,3267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11980,3295,2,8192,3268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12110,3296,2,8192,3269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9250,3297,2,16384,3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9302,3298,2,16384,3239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9354,3299,2,16384,3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9406,3300,2,16384,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9458,3301,2,16384,3242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9510,3302,2,16384,3243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9562,3303,2,16384,3244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9614,3304,2,16384,3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8986,2958,1,1,2770,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16699,3306,1,131072,8199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16630,3307,1,131072,8199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16653,3308,1,131072,8199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16676,3309,1,131072,8199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16606,8199,1,131072,8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16559,3310,1,131072,8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16536,3311,1,131072,8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16513,3312,1,131072,8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16582,3313,1,131072,8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16349,8198,1,131072,8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16302,3314,1,131072,8194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16279,3315,1,131072,8194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16256,3316,1,131072,8194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16231,3317,1,131072,8194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16398,8194,1,131072,8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16490,3318,1,131072,8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16467,3319,1,131072,8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16444,3320,1,131072,8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16421,3321,1,131072,8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16374,8197,1,131072,8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10179,8200,2,8192,3269,3268,3267,3254,3255,3256,3257,3258,3259,3260,3261,3262,3263,3264,3265,3266,,,,,,,,,,,,,
15518,3254,2,8192,3306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15564,3255,2,8192,3307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15610,3256,2,8192,3308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15656,3257,2,8192,3309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15702,3258,2,8192,3310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15748,3259,2,8192,3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15794,3260,2,8192,3312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15840,3261,2,8192,3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15886,3262,2,8192,3314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15932,3263,2,8192,3315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15978,3264,2,8192,3316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16024,3265,2,8192,3317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16070,3266,2,8192,3318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16116,3267,2,8192,3319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16162,3268,2,8192,3320,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16208,3269,2,8192,3321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9012,2765,1,4,2958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9669,3238,1,4096,3246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16807,3246,1,4096,8202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9724,3239,1,4096,3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16830,3247,1,4096,8202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9773,3240,1,4096,3248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16924,3248,1,4096,8203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9822,3241,1,4096,3249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16947,3249,1,4096,8203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9871,3242,1,4096,3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16970,3250,1,4096,8203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9920,3243,1,4096,3251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16901,3251,1,4096,8203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9969,3244,1,4096,3252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16784,3252,1,4096,8202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018,3245,1,4096,3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16878,3253,1,4096,8203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16854,8203,1,4096,8202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16760,8202,1,4096,8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8945,3271,2,4,2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16325,3272,1,131072,8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12317,8196,1,131072,3280,3279,3278,3277,3276,3275,3274,3273,3272,3271,,,,,,,,,,,,,,,,,,,
9277,3273,2,16384,3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9329,3274,2,16384,3239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9381,3275,2,16384,3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9433,3276,2,16384,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9485,3277,2,16384,3242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9537,3278,2,16384,3243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9589,3279,2,16384,3244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9641,3280,2,16384,3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-------------PASS (DONE)------------
