link,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4]
1592,81,2,65536,604,,,,
1778,604,2,65536,925,,,,
1916,925,2,65536,928,,,,
1638,143,2,65536,605,,,,
1826,605,2,65536,927,,,,
1684,204,2,65536,606,,,,
1874,606,2,65536,928,927,,,
1850,928,2,65536,927,,,,
1730,265,2,65536,607,,,,
1803,607,2,65536,927,,,,
1754,927,2,65536,924,,,,
1361,924,1,16,586,,,,
1314,452,1,1,586,601,598,595,592
1408,452,1,1,592,,,,
1454,452,1,1,595,,,,
1500,452,1,1,598,,,,
1546,452,1,1,601,,,,
1287,586,1,1,452,,,,
1080,592,1,16,81,,,,
1051,592,1,16,81,,,,
1133,595,1,16,143,,,,
1104,595,1,16,143,,,,
1186,598,1,16,204,,,,
1157,598,1,16,204,,,,
1239,601,1,16,265,,,,
1210,601,1,16,265,,,,
-------------PASS (DONE)------------
